problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,u^4,u^3u_xxxxx,P4(u),P3(u)u_xxxxx,0.0441,0.0009
Heat,u^4,u^4u_xxxxx,P4(u),P4(u)u_xxxxx,0.0389,-0.0019
Heat,u^4,u^5u_xxxxx,P4(u),P5(u)u_xxxxx,0.0383,0.0131
Heat,u^4,u^6u_xxxxx,P4(u),P6(u)u_xxxxx,0.0317,0.0064
Heat,u^4,u_xxxxxx,P4(u),P0(u)u_xxxxxx,-0.0028,-0.0037
Heat,u^4,uu_xxxxxx,P4(u),P1(u)u_xxxxxx,-0.0345,0.0196
Heat,u^4,u^2u_xxxxxx,P4(u),P2(u)u_xxxxxx,-0.6661,0.1847
Heat,u^4,u^3u_xxxxxx,P4(u),P3(u)u_xxxxxx,-0.9619,0.9478
Heat,u^4,u^4u_xxxxxx,P4(u),P4(u)u_xxxxxx,-0.8038,-0.2156
Heat,u^4,u^5u_xxxxxx,P4(u),P5(u)u_xxxxxx,-0.9796,-0.9693
Heat,u^4,u^6u_xxxxxx,P4(u),P6(u)u_xxxxxx,-0.8536,0.1589
Heat,u^5,u^6,P5(u),P6(u),0.8997,0.1536
Heat,u^5,u_x,P5(u),P0(u)u_x,-0.0044,0.0063
Heat,u^5,uu_x,P5(u),P1(u)u_x,-0.0044,-0.01
Heat,u^5,u^2u_x,P5(u),P2(u)u_x,-0.0063,-0.0063
Heat,u^5,u^3u_x,P5(u),P3(u)u_x,-0.0068,0.0106
Heat,u^5,u^4u_x,P5(u),P4(u)u_x,-0.0087,0.0034
Heat,u^5,u^5u_x,P5(u),P5(u)u_x,-0.0088,-0.0124
Heat,u^5,u^6u_x,P5(u),P6(u)u_x,-0.0118,0.003
Heat,u^5,u_xx,P5(u),P0(u)u_xx,-0.5165,-0.2661
Heat,u^5,uu_xx,P5(u),P1(u)u_xx,-0.3725,-0.1328
Heat,u^5,u^2u_xx,P5(u),P2(u)u_xx,-0.9203,-0.6667
Heat,u^5,u^3u_xx,P5(u),P3(u)u_xx,-0.7934,-0.2364
Heat,u^5,u^4u_xx,P5(u),P4(u)u_xx,-0.9855,0.8724
Heat,u^5,u^5u_xx,P5(u),P5(u)u_xx,-0.8624,0.22
Heat,u^5,u^6u_xx,P5(u),P6(u)u_xx,-0.9906,-0.8977
Heat,u^5,u_xxx,P5(u),P0(u)u_xxx,-0.0575,0.0988
Heat,u^5,uu_xxx,P5(u),P1(u)u_xxx,-0.1257,0.0506
Heat,u^5,u^2u_xxx,P5(u),P2(u)u_xxx,-0.1655,-0.0938
Heat,u^5,u^3u_xxx,P5(u),P3(u)u_xxx,-0.1698,-0.0545
Heat,u^5,u^4u_xxx,P5(u),P4(u)u_xxx,-0.1718,0.0469
Heat,u^5,u^5u_xxx,P5(u),P5(u)u_xxx,-0.1484,0.0535
