problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,3,3,VB_Alg1,Diffusion,1,1.0,0.968801,-3.1,2.4034114498816186e-06,1.0,True
Heat,3,3,VB_Alg1,Diffusion,u,,0.005152,,1.5474166287221854e-05,1.0,False
Heat,3,3,VB_Alg1,Diffusion,u^2,,-0.017487,,5.56385405667843e-05,1.0,False
Heat,3,3,VB_Alg1,Diffusion,u^3,,0.006705,,2.9000450866865137e-05,1.0,False
Heat,3,3,VB_Alg1,Diffusion,uu_x,,-0.009886,,6.547498710829585e-05,0.9998145453058711,False
Heat,3,3,VB_Alg1,Diffusion,u^3u_x,,0.023732,,0.00027199451515136206,0.9999931206684693,False
Heat,3,3,VB_Alg1,Diffusion,uu_xx,,-0.026072,,1.4359598574760298e-05,1.0,False
Heat,3,3,VB_Alg1,Diffusion,u^2u_xx,,0.005363,,2.3315407436222686e-05,1.0,False
Heat,3,3,VB_Alg1,Diffusion,u^3u_xx,,-0.001699,,2.6372024893135843e-05,1.0,False
Nagumo,6,6,SINDy,Drift,u,0.5,0.423771,-15.2,,,True
Nagumo,6,6,SINDy,Drift,u^3,-1.0,-0.759155,24.1,,,True
Nagumo,6,6,SINDy,Drift,u^4,,2.851034,,,,False
Nagumo,6,6,SINDy,Drift,u^6,,-2.70567,,,,False
Nagumo,6,6,SINDy,Drift,u^2u_x,,0.458365,,,,False
Nagumo,6,6,SINDy,Drift,u^4u_x,,-5.961223,,,,False
Nagumo,6,6,SINDy,Drift,u^5u_x,,-1.140678,,,,False
Nagumo,6,6,SINDy,Drift,u^6u_x,,8.193932,,,,False
Nagumo,6,6,SINDy,Drift,u_xx,1.0,0.966285,-3.4,,,True
Nagumo,6,6,SINDy,Drift,u^4u_xxx,,-0.416605,,,,False
Nagumo,6,6,SINDy,Drift,u^6u_xxx,,0.64142,,,,False
Nagumo,6,6,VB_Alg2,Drift,1,,-0.013522,,6.313102598427374e-05,1.0,False
Nagumo,6,6,VB_Alg2,Drift,u,0.5,0.348248,-30.4,0.0009628284591519541,1.0,True
Nagumo,6,6,VB_Alg2,Drift,u^2,0.5,0.590558,18.1,0.0022100608076365555,1.0,True
